video_id,label,split
apmDI1iZUm4,0,train
H6i9PiKyuas,1,train
Fq6bluwMCLs,1,train
9nuT_ZxWwb0,1,train
jGISQHZWvlI,0,train
fjIbLTaLaoA,1,test
1kly25zVbco,0,train
oA53ZanVNgc,0,train
eQvdOLxkGc0,0,train
doUdRCrK80E,0,train
m7mP1qyBQiw,0,train
SJLENbI12-A,1,train
tT3cPwV4uTk,0,train
Vg7dWjieF2Y,0,train
-RNI9o06vqo,0,test
qk7ChII_Up0,0,test
kArC6ZlwetQ,1,train
SNYpl1hCu3w,0,test
HVyUkKthTuA,1,train
_cVlSAD2mRU,0,train
EwzD8U4u76k,0,test
hI46Wvjgo_0,0,train
5P2jzgIDrPo,1,train
heWJYtdZcPY,0,train
N7hlIbJkvUQ,0,train
KDHuWxy53uM,0,train
Nm7U_ZZaOAc,0,train
BFGEGksIm28,0,train
JdKV1L1DJHc,0,train
SJMlzIwzyQE,1,train
PBwS7svfqkI,1,train
yJ6qaml8U9w,1,train
YzA-HMq0rUA,1,train
PU06GuQ7svA,1,train
GsUSEwafFIE,0,test
OAaLyhs9kQw,1,test
N5gG8eUm3gQ,1,train
cgTE_09hEDU,1,train
URqSPBaxV7Y,1,train
-JuqoWtI2Wg,1,train
NTuu2Gx_4H4,1,train
0mccdi3V5HE,1,train
xIbyQ92vijE,0,train
pz6WcZlwX_o,1,train
EgZI5ZY3dmU,0,train
N05FSw-va0M,1,train
6XZeIovgjIQ,1,test
QDkLaDDJhG8,0,train
rxICmJthL4Y,1,train
flY7yG9me0w,0,test
8nz2dtv--ok,0,train
9ezzpuOqkX4,0,train
vp12ENCwrbQ,0,train
hoKc0z_YkiI,0,train
axI5Luw0Eos,0,train
yAXeLLddRkc,0,train
POEjtktj-1k,1,train
jE2HOuhEwIg,1,train
GlBYewv-VIo,1,train
BmFEoCFDi-w,0,train
NaILbbTdilk,0,train
MzaBSb7DBD0,1,train
HjlmIREzkm0,0,train
Y_TF9N2XlAs,1,train
LBINn20LUes,1,train
ey6H4fRjAKg,0,train
YdVamEfoHkU,1,train
Usgp1mgwOio,1,test
Y2OLRrocn3s,0,train
1TxzkOEaSA8,1,train
3Ka7B3hCg08,1,train
QUMmXFB-QOk,1,train
M2Jxs7lR8ZI,0,train
8XJHEe1hhPY,1,train
mOcVhNaPQTA,0,train
JvHU-UOPrGs,1,test
LMyyu1bydFI,0,test
acNfwJE0bU8,1,test
gLv6tsTdpgM,1,train
iHi2OermTEc,1,train
JWECaawgzi0,1,train
eGoT_VqIVKY,1,train
ssTdkqVW8xQ,1,train
cNI-LIVs-to,0,train
edamnPJRCpA,0,train
gOngJUc5ZtE,1,train
cpk_c7WsyPg,0,train
_K0Ka7Mkqus,1,train
ySwgm9MMJco,1,train
Rh1pXkFczSg,1,train
YzyeAh8Y7Xc,1,train
cVKoHSdhA1o,1,train
Ot75SS-c4Ic,0,train
7HfD4cvY3ww,1,train
vQJ8_ftaHi0,0,train
4CyLWOWz5uc,0,train
e01GIoFak2s,1,train
UPku0k7w6rQ,1,train
A0YSmiV_KCs,1,train
h62tcdxa4Ag,1,train
e2cMS2SuWm0,1,train
T5c6O3efej0,0,train
cIgVjbcKRM0,1,train
JIYuOQscL6A,1,train
wmv0UwkbsZY,1,train
ACplPj5CC-k,0,train
szsITKAs5B0,1,train
fRaX2jbxUjw,1,test
Q1yRQ2A078g,1,train
BN2II_ZH--c,1,train
TXvBkHlwDgA,0,train
yLpAZJXFrEo,0,train
00mdcc9o28A,0,test
tugFFhML7VY,0,train
-y44hPaZqUM,0,train
UYMIgnw2FPU,0,train
mww5BL096CQ,1,train
ST0c3xuWx0Q,1,train
-7WGI3JoxAg,1,train
yeuBPPhx4K0,0,train
-CAmTENXSok,0,train
lhTQgIwKhoo,1,train
RnsEf5URYf0,0,train
wDOvjrlym3E,1,train
Hn44wy93smw,1,train
Xz6yBbBRr8Y,1,train
-xe5zuhc7a4,0,train
YkiR1KjIw7k,0,train
orr8JffO7a0,0,train
DtJ28qOEG1g,0,train
IGyx5UEwgtA,0,train
JGEShR6-Uao,1,train
m72SF3G4RA4,1,test
zAuWt3DFbv0,1,train
3AVmLf3jSsQ,1,train
-fjXflOeRP8,1,train
TUmyygCMMGA,0,train
SKV6h_5XFbk,0,train
OgMj7upTTMg,0,test
xlnud-AsrnE,1,train
NKmGVE85GUU,0,test
rGlsxVfCSyQ,0,train
kWplTlAWdU0,1,train
xs3_hNYAVRw,0,train
EpUab4NG7rc,1,train
vqwKWN_CdcY,0,train
tQzti9knx_Y,0,train
Saip_BCBW3o,1,train
cw7W4f2dIw0,1,test
7E5cQwhCuWM,0,test
CRioIAZ6TmI,0,train
6rjYXEYpuDo,0,train
0t2VPBF6Kp4,0,test
oKc1n8viMD4,0,train
DYetyYSJ05k,1,train
ixZY53z4i1Y,0,train
IRlf3OGCJXU,1,test
Fx-KrvuiafE,0,train
CTuts6Ns_SU,0,train
2FM_8Q7EIiI,1,train
Gg60lml6o7k,1,train
HGEMscZE5dY,0,test
cgg9byUy-V4,0,train
TImO_RquoW8,0,train
sgIbXwoSv-s,1,train
WolVEMFbUcs,0,train
VFOIVrL66UY,0,train
l7A9q0gKElQ,0,train
fgzPeVe5P0Q,0,train
Wd7NJWlKii4,1,train
NwXVKKCGnlw,0,train
EWe6ER1_UEk,1,train
mt2z3fvyIGU,0,train
2HjOAuDDvlc,1,test
nGXP4ot1OdE,1,train
q_7KUC6CY6Q,1,train
MO5Fd54Ap_k,0,train
80T1gkb_iaE,0,train
cOTK8-s30No,0,test
dgC1wMSAQ9Q,1,train
0YQJftzuCaw,1,train
XIz26m-5N3s,1,train
gqskRfwr95g,0,train
N2z5dSRkv_I,1,train
APi-5QcLQHU,1,test
9iOXBfcDYv4,1,train
3bi0qfFwKRQ,0,test
Wcp5-6vWpAU,0,train
0hHFLBKR3y4,1,train
TYTirwx3FkU,0,train
LT6xUAmG5z8,1,test
E7HwKKyUecs,0,test
E6_KUdKj4WQ,1,train
aQaCY7wlQEc,0,train
R5P6O0pDyMU,0,train
cfZ5lExKMQs,1,train
RWQ-PuHbM3w,0,test
pP-C_B8nSmw,0,train
-_7Dqs5unqs,1,train
A60kWg9IRSA,1,train
VYuwhwdzM3A,1,train
u9C8Pp1sS9E,1,train
hz-iqA2wKgI,1,train
hzAWq6btY2w,1,train
nb0YoRMXIY0,0,train
uRVhYrl-iYA,0,train
DXt2RmwW9sI,0,train
ANbgKuGrgGo,1,train
SIzEJfDcZpQ,1,train
wIt7JYJgt4c,0,test
rjfST1fGMOs,0,train
ZNyiEnKBocs,0,train
cBQiLh9N6kg,0,test
Mvuj5fCmLVU,1,train
leQaHImtVrA,0,train
0_aIJRnX_9c,0,train
ZcDneXm1ZMM,0,test
U5SxvTFZ6lY,0,train
M5pfng5S8tQ,0,train
g7Xn2JqH5ng,0,train
aXj-ZjxUIDw,1,test
mjpaPLnpzlo,1,train
EeWjx98A0Yg,0,train
Kd1CGQ36tTU,0,train
-t0jPT9c-qI,1,test
vKCXetiCYn0,0,train
QrbE-2M-aNE,0,train
w5LICH9PiIU,1,train
WUnDsNL_5nk,0,train
GCUrSA-KTas,0,train
z4VT4gik54w,0,test
1wkPMUZ9vX4,0,train
_8Nb_zgWZZ4,0,train
RyCqbivfz08,1,train
Lk1uBMZOaXc,0,test
LD0x7ho_IYc,0,train
z_qQaMc4HTI,1,train
n5XDBHDK9bU,1,train
Li4LAxoHVoM,1,train
qI7MsmJlinY,1,train
JR9QBiyRRgA,1,test
LpcDFmfmRkU,0,train
Ko-27mN7Z2Y,0,train
khVJLkvx60k,1,train
DdFKKZe73Pk,0,train
QiwtLBQrjG0,1,test
jLw4Eq90wNk,1,train
EgQ7uLt-DwI,0,train
Mx7KM-k2MMo,0,train
k3ofpyDTVzY,1,train
ZGCcs_5vdbM,0,test
wP0G3Vwe1bw,0,test
WdC1sq8h4Cg,1,train
gHJ6gZ7Q554,1,train
lwZzRtxFdvY,0,train
GA5cmKI6_A4,0,train
xwi_uXHZkEw,0,train
7NnvE0n0NSc,1,train
roRGPI1PwNQ,0,train
cMiXSBkDZ7k,1,train
2cLMgClppLM,1,train
iUNi6NQPi3Y,0,train
c8erpQwQLpI,1,train
nkmx_k9wVs0,0,test
4BMd8XVqusY,1,test
BN_Uwo4qQTM,0,test
nATapY005XY,0,train
nJMHHKrAAtM,1,train
98I3cGOwkwE,1,train
nt6ab7BTlgE,0,train
r7j9cBnpfx8,1,train
p3xmqbNsRSk,0,train
vI15rtezCB4,0,train
A5BnuuqptOk,1,train
3x1zcnKtDHg,0,train
LomxrQz-E3M,1,test
CVXyS5sx_SI,1,train
BBdUlJkqILQ,1,train
VfsFV7VGBzI,0,train
Rz6jHTpi6zw,0,train
eDDMSULnTdE,1,train
6DogXzVzcQA,1,test
vJazpys1z6E,0,train
V7bkSjaaX00,0,train
kI9EtkHy4d8,0,train
7p_nPxfqNFo,1,train
qnxcKRJJwcA,0,test
efiW2K8gASM,0,train
jZBAPmDkqd0,1,train
QsQV4nDG7u8,1,train
iI4e_F7Yy1g,1,train
vsEPE3Jh_y0,1,train
dtn579DvHa8,1,train
0qmYtrqSg-Y,0,train
m8HVoN1uTtM,0,train
ZnX1IbIFUaI,1,test
c-TLJS8cdTU,1,train
j6WX5SR7zxA,0,train
ZX6kfY4428w,1,train
ch-la5pHwdU,0,train
xaz5ftvZCyI,0,train
oBSlllgy7-s,1,train
tE9aSULUqVY,0,train
9sn5iYFKySQ,1,test
ZJu8Kh2fzu0,1,train
5wosC9QLQTM,1,train
UbuvFMvytu4,0,test
NWiv_JdjvyY,1,train
lDVUBG3PI0w,1,train
CUdnMkFXI2I,1,train
b37iKMzC1C8,1,train
6mNcHDrIMQc,0,train
vG-QZOTc5_Q,0,train
yiC4w7Erz8I,0,train
K45mFsyZxtU,0,train
zjzsdvG6Fm0,1,train
Hxo4Zo4awmY,0,train
4oPPkKsskbQ,0,test
xtXbnLe64jw,0,train
9D0XuUC5bMs,0,train
I_7zAlNreH4,0,test
Dm09LvHlAmA,1,test
sNhhvQGsMEc,0,test
Yy60Ttd6ujQ,0,train
0eKdNcP4xrM,0,train
SRMw1AQRLQc,1,train
QtMmgzGYih0,1,train
1HWVFfLdTT8,1,train
XQLS0UiLOgA,0,train
ziq-2JifkjI,1,train
pIs_PniE4lQ,0,train
Bs8zdytkhZ0,0,train
dCFu4H_RD9E,1,train
WCiTX32O-Bg,1,train
oXCAdGdvh7E,1,train
CdzB3dWSv9c,0,train
ZJqZ6RUZkpw,0,test
sN_b1IEokkI,1,test
s9ixts1s6LE,1,train
8CZWfo4MGTA,1,train
QbpEz3AxnVY,1,train
eXTiiz99p9o,0,train
W-m4gfVRc9Q,0,train
XrJr1HToN2k,1,train
MHsxq45a84c,0,test
7lukoNrS1ZQ,0,test
vbBzXPQ4CFk,0,test
8AlvNCEd9wA,0,train
y3TAfaKxexY,1,train
hTONQA3MePg,1,train
U95NoBQ18Qw,0,train
V5PzDHbAtO4,0,train
-G16EX6b8Xg,1,train
Oa1rMuhv2jU,0,test
P1m-MThFJ0I,1,train
KVtaUf05sn4,1,train
iHSKFgPYySM,1,train
Hvcps5dFzfc,0,train
hkxlU-Kbt0A,0,train
x2ZkVPkpjJA,1,train
JC82Il2cjqA,0,train
wtAN1JH7sos,0,train
Yi6yqintlH8,1,train
4jXHbh0BKV4,1,test
dSeB32NBVUU,1,train
TL2p9E1yd4o,1,train
yYPuBDP1xdc,1,train
xn_aBXN1Jlc,1,test
mHC15HYwJ5Q,0,train
3PkP5U6giiE,0,train
nKdXSRnyTiQ,0,train
D342wdr9GQs,1,train
dfOVNptkgPA,0,train
TCCYCSACA2Y,0,train
NdHRAI9VdXI,1,train
nR5AIdM23h4,1,train
Q1bHT2k0XEw,1,train
1w8Z0UOXVaY,0,test
pJBRQQkT85s,1,train
XEdkXabqLM0,0,train
xGzVjJrcM20,0,train
b102UGOUmeg,0,train
NtIhhuPOVDY,0,train
vTl6UNMKjLc,0,train
6brM44delco,0,train
c0UdIUC-Gfg,1,train
0w8Va2joeFc,0,train
wGWFkvMyWF4,1,train
4HQgulh7-T8,0,train
9NgfAsg0CsM,1,train
hXP1Gv9IMBo,0,test
1Se35LYYDJQ,0,train
fzxYR8sdAUg,1,train
ako96rxKFp0,1,train
qRMSvFO7org,0,train
Uv6lPaGp7vE,1,train
WVB2GSlyrSk,1,train
ZnhnmSlFJeI,1,train
nUTtPoNUfYg,1,train
Vt9ROJ4H82g,0,train
v66I6Et38yE,0,train
KIDz7Oc1nnw,1,train
vJvAW-KDV9w,0,train
mHBXRHupdr4,1,train
LZvGRxHGhaU,1,train
qT22LiVF3CU,1,test
eDijKSMoVwg,0,train
jsUuHKnOPTI,1,train
Insk0blNs3Y,1,test
DkZ7BJQupVA,0,train
KiW7zE77dz0,0,train
8jKB0dRWkQM,1,train
5hqaqQ4Mb38,1,train
FezkyApo8Ro,1,train
g18pXHwRWCQ,1,train
wblW_M_HVQ8,0,test
SSOnqgsfAlo,1,train
l_PTOY_SA-U,1,train
oney3Y3RUFs,1,train
Z8SQeprQe6M,1,train
QXT4OVM4vXI,0,train
irqb1Sk7uKU,0,train
MmxbY3HVaW4,0,train
L0TabnDseT4,1,train
ePTTUtuD_d4,0,train
2Vv2K4bFOqo,0,train
COJr7OB23Hw,0,train
jM2CD9x9jOM,1,train
Z-qDr_IXO38,0,test
G7kiczPFf2w,1,train
aCW3Yz_xM3Y,1,test
yxdRTaAp5Fw,1,train
VdHGqX0nuPQ,1,train
DUXvnuR8qAg,1,test
RzeESd91lfs,1,train
Bk-36FZEtH8,1,train
o_W280R_Jt8,0,train
j-N7tm8mvZ8,0,train
aknKsPD9MKc,1,test
wuLzlIjmuEQ,1,train
XpXSsJ5oDco,1,test
C6gkAQ-CWDg,0,train
hVcz93FLVt0,0,test
XUrL785fX2U,1,test
LWxqsbr3sc4,1,test
Rmg5fLRBkZo,0,train
55cJ9F9rf08,0,train
PCKu-sY5y3U,1,test
jT8eRkC6FSY,1,train
L3kE4199ViY,1,train
nDh7xG2_Eio,1,train
p0RgVLQYZSQ,0,train
ZKAQvRPME0Y,1,train
M3OeVz7Imm0,1,train
i57sjfsdfBo,0,train
MRXxYL2MNQU,1,train
ym9E1YG3_QQ,0,train
xpc62ygz3HU,1,test
UgolB_YLQGs,0,train
vvBl3YUBUyY,0,train
qK8vKyYy8kc,1,train
yBgYPkfpsFY,1,train
4JbIMf7Y7tY,1,train
jDqFzw4AQa4,1,test
O5sBXKS8i2A,1,train
aUqLjGB_kyI,1,test
S0GQaeMSOeY,1,train
nxXRObxAiOg,1,train
Sf872ObD7Tg,0,test
UnHohdIkEQs,1,test
4p22E_TBm50,0,train
Phbe8mEDMe4,0,train
1m9p9iubMLU,0,train
EVbdbVhzcM4,0,train
ppILwXwsMng,0,train
Mr5Pl93L4yY,1,train
vX-OOfbnD9w,1,train
UtsfUAHkyWQ,0,train
JPXyHVukMWE,1,test
AC48ZVFakWE,0,train
fXNV3Ad0qQ0,0,train
V1neQzgKL38,1,train
TlvNMlIMWhw,0,test
VKkbjXYzxXA,0,train
yGNlGh-bxKY,1,train
sovMpY2QH-I,0,test
tEbF9Jpp7E0,1,train
COrifv5ENLY,1,train
8Su0t-0KCw4,1,train
N8JD_P2J24g,0,train
eJJPC323_f4,1,train
JBPD7Xwnbuk,1,train
Oqq5tgday_w,1,train
-dCh9ynZ6Qc,1,train
1nSvuSQH9h4,0,train
Ssphf4UcQdo,0,train
JKXlkPyQ2HM,0,test
R6gsrO8QWnQ,1,train
oGh1Yibm0uI,1,test
8ri4f41VB28,0,train
4LJzbmtTtes,1,train
QMJY29QMewQ,0,train
qGJKjFHzuqo,1,train
uxEZiXrTnnQ,0,train
BicD0RF_H4g,1,train
FNLqPQ3vCt0,1,train
ll7nM_e74lU,1,train
WnlYITW8Ohw,1,train
RVKZ-YW3aLU,0,train
w3BhzYI6zXU,0,train
WiX_O7hBTGw,1,test
oN2mXJlgDQI,1,train
lX_m_t3cAR0,1,train
c8wM6fjPj-0,0,train
-FtlH4svqx4,0,train
sohXPx_XZ6Y,0,train
ktddFSm3nTg,1,train
ioGb9wUY1y4,0,train
v7TdTk-7KoU,0,train
qeZl_b1SDfo,0,train
nFpk8jvG9Ww,0,train
S4Rgu7WYH0g,1,train
ULcqFUa2qGc,1,train
FXwix8yKyh8,1,train
QsBT5EQt348,0,train
c3SXahnwMVk,1,train
9zJlI5VzAvQ,1,train
gE6MDvvUERA,1,train
tECHHXEnC0I,1,train
wxRPNLUaK8w,0,train
u42COg-qCMI,1,test
dmX1W5umC1c,0,train
ydnxRLaYphk,0,test
jnDyj7Gb8cw,1,train
xxv42CCHrhY,1,train
P4tNeWmSESA,1,train
5ueSUnUL3ek,1,train
SD2LTwgBd2Y,0,train
E3a88_SjJR0,0,train
jNN6FI1Gcr8,0,train
Hxsbi2IWlRo,1,train
YN1bUAFc7bs,1,train
lP2Sm2nOmyM,1,train
Dg_h91bC8pY,1,train
-KtqpIMGhyc,1,train
BWo_tYF0nAc,1,train
QK1jlPgn9Ck,1,train
oufGY-I7j0k,0,train
hnKiPEy4tW0,1,train
Twvt-Vhli9Y,0,train
rufj8ldbQLg,1,train
f-gX0spJpa0,0,train
ZO1xRXSTF1A,1,test
j71ggLVEsU8,0,train
uGqpKSbbMmM,1,train
-iS_Hg8ygBE,1,train
DkzQxw16G9w,0,train
__PJO9Xid50,1,train
5SVTOBWEqOA,1,train
DvCP3Gmxd8Y,1,train
bSaFSIh65dI,0,test
esgs5XqLW2Q,1,test
2Wcwc2h-eKI,0,train
wOQe1hWvX_c,0,train
umfgvffJ6M0,0,train
N2XVVt4ryWY,0,train
TbG_SMvslYk,0,train
zE0qp3Yje6Q,0,train
ZuaseSovWDY,0,train
MglmeOowhYo,1,train
nCmXFmRkB28,1,train
md8PRvrbt6g,0,test
RcqEiI9bpCg,1,test
UqvXc4q0NyM,0,train
vJiUQ80ro5c,1,train
a4d5CbK0b3A,0,train
SPSz7T1c80I,1,test
uE6morUlDHo,1,train
-YbxjN53TDM,1,train
U-16eckVOZk,0,train
vMr1p7w5F9I,0,train
vYkwNZJJc4s,0,train
MxCRgtdAuBo,0,train
hzffWi3Faao,1,train
4WcdkItFjbY,1,train
feJ7Wj0yYVw,1,train
C-7fzHy3aG0,0,train
EiUeQOTQSnM,0,train
p6TFYR60fqA,0,train
D6wmz6HQBWc,1,train
ItznKylqptQ,1,train
711kXYm5L10,1,train
qkc8oAr7pIE,1,train
8TDnEs3dqP0,0,train
6Nr_xHolP1Q,0,train
wDJp6ho7fDY,1,train
q_aM4KXTYPk,1,train
tEq45ul1aEw,0,train
myba3XPYlpQ,1,train
SDUWutN67f8,1,train
BMqzm7m4uOk,1,train
LsoYmWsAsbI,1,train
HDv5bUR_Plo,0,train
ABtt5y-maO4,0,train
6UCjUdTyr1w,1,test
dHfQYGGUS4U,0,train
wplX6t4S7p4,0,test
yuWtVYxZIzY,1,test
NN1d6_h9skc,0,train
ydCgf5FILUY,1,train
ibVKeM7BbVk,0,train
qZxU_sJZqO0,1,test
Paf-iSf2Mr4,1,test
KnIN5I2tfGI,1,train
W0uT01T1hRI,1,test
JNnRbYj6Rnc,0,train
_o1Gz9pNHc0,1,train
xD3x_7yNGLM,0,train
HLVCubFinpc,1,train
fmDz9mF109Y,0,train
afzHsxXOJGM,1,train
X1PsuaqmJjA,1,train
Osd16ILchHs,0,train
EaBOPZBSNCc,1,train
Je9fziS354Q,1,train
KjAx5VAPOUM,1,train
s7gDXtRS0jo,0,train
2PD55fyRBxI,1,train
qVQQKbbO1EE,0,train
0f_xpcMhCNA,1,train
09nKFCUpHFs,0,train
U6_cSjQo8gE,0,train
V_mXR_Kol4Q,0,train
sEjf0d38JK4,0,train
twyoQ8LWatU,0,test
x3gq1p_CwCE,1,test
7lylpi32ibE,1,train
MRFCVG85X_s,0,train
BwPj6O-afX0,1,train
54acHHUqObM,0,train
9ry8hyOfEGY,1,train
zpnMb5wziVs,0,train
c2gKsnRzSHw,1,train
bPFnQ_PVKNY,1,train
Bg_tJvCA8zw,0,train
ZN41d7Txcq0,0,test
ZvXgHiS9-zQ,1,train
-WOFikAp_Mo,1,train
yarsCzySIC4,1,test
XMIc4uTAMh0,0,train
C7oSFNKIlaM,0,test
rbK8z3BhX30,1,train
E3f9qWTkrRU,0,train
x2l75JEuxcA,1,train
dKJlUiGkYtY,1,train
xe6fqasFBUY,0,train
KRv0gqlXNd8,1,test
KBpGxb_unmc,1,train
KBgB0VMcRYQ,1,train
oUhWx-Pz70s,0,train
h5_s6BS2_YY,0,train
fnC5VkfBLN8,0,train
R4wKm8OiEWw,0,train
bEV0MCO18B8,1,train
LzefVqRNiqA,1,train
wUNLGdqm_-0,1,train
tEG1Eo7OexY,0,train
5S4dDGr1VYU,1,test
L6lq_gm7Zmg,0,train
gfME4arLPpk,1,train
A3Yj3q0QRLM,0,train
hmMlspNoZMs,0,train
F815eqx6BMI,1,train
kWE2_-jiDS8,1,train
lfJvhI9j1tI,0,train
bYXAnHUm8TY,1,test
yxXjPy9m20Q,1,test
HaKX_pz3C-w,0,train
r61vQDbCBLM,1,test
lVU8Hd2P8Ao,1,train
x01l_jMhjVM,0,train
iK0-76FChfk,0,train
l6iX_nozv2M,0,train
Xo8KqrV8v6U,0,train
Q-jDzZYMn6w,1,train
PXTAhwqqAmY,1,train
48WdyjnaSp8,0,train
TymTs09IvB0,1,train
-93Ij5WIcok,0,train
nM9Uy4j4ePk,1,test
fRfPupikHT4,0,test
zN007md9h8Q,1,train
N4vf8N6GpdM,0,train
BRUvbiWLwFI,0,train
_QKdnGgnerg,1,test
L161lrzksHA,1,train
spPMvChCFWQ,0,train
uMN0cGnzgNk,1,train
yy0XNyOsikE,1,train
DolduIxtx5U,1,train
eXJFbsQBvLw,0,train
ggR_SPwP6cw,0,train
JYnaNvXZhoY,1,train
rAhtREmnjzI,1,train
5-idSP5Ztaw,0,train
WgKC4NozEpk,1,train
0azEQxM1chg,1,train
s8qnYmUarNE,1,train
eCQLWGs0qQA,1,train
bvYUq6Ox0Hc,0,train
IUKEzK64kug,1,train
A5DcOEzW1wA,0,train
K25fl-kvr1A,1,train
JmST4vGXPX0,0,train
Kk3w7dr8KCg,0,train
hx5RM9LUD6A,1,train
riJ7Ry9ikdo,1,test
gm091w0sSKk,1,train
0YwlBl8WLb0,1,train
VZ3NPWUB_5A,1,train
fjFjv8iXio8,1,test
YN10zSFennw,1,train
9jBXGmWIj34,1,train
L3GJiAprbRQ,1,train
Pmw9f9eY6LI,1,train
ekqp90s2F7Y,1,train
LxNlxrQXoQw,1,train
yZb3qsnr1Bw,1,train
vKCFkFaIwU0,0,train
kmvAdRntWH8,0,train
JeiFgGZL4rY,1,train
OWVTtuxW6Fg,0,test
BjObSaEAg-8,0,train
b_yyRHdbIJ4,1,train
voNsus-FOSg,1,train
xqpNZQTi0Ls,1,train
JGXi_9A__Vc,0,train
-mqMDOJGnnM,1,train
-dAtfh79ZkQ,1,train
VtF6Lis1ML4,1,train
IBbQByoFa2M,1,train
h8xuGS-vPA8,1,train
u1bpI-49BzY,1,test
-SWZjpAgfJg,0,train
YzmNsWHvV2c,0,train
Hh0wW41a4WE,1,test
e2E_N8uBlyE,1,test
uVxSZnJv2gs,1,train
NcUchJEPd6k,1,train
6x9g4JzrRpo,1,train
7rhDHSoxV_4,1,test
6muw6pqzk_c,0,train
EFQZxxAql64,0,train
63hcuBJU924,1,train
e1ksqQQ51h0,0,train
dmYEOZq8aZc,1,train
BlLFR5LlfnQ,0,train
rbeoFRnYQzI,1,train
3zVBoaHOeXo,0,test
WfLHhO-bCFE,0,test
HOwuFJ_09vA,0,train
iC_Pjvu0auU,1,train
zZetA8aEigo,0,train
aGJLOXqZEmI,1,train
VvqbjUtt3mM,0,train
znkVb9ch_MA,0,train
dQ591CfNbgI,1,train
AmznnltVlmI,0,train
0btbPc21N7g,0,train
sPp6gafspTM,1,train
Qm2r49yIr3s,0,train
XGTDx8aZ8jc,1,train
w7yp8sQekrU,0,train
9tXEr1cps4Y,1,test
prWMXGN1E3E,1,train
etifRufySPE,1,train
HSQFyNGAA0s,1,train
Q8-NgZsUp4Q,1,test
joHP5kYVR24,1,train
a7nMhCOEptg,1,train
Fxeb3Pc4PA4,0,train
t-O-Qdh7VvQ,0,train
pSg_Sd94Y8k,0,train
Fiy8c7PWGm8,1,train
3kDcjx7J0kI,1,train
t3i-CTKQyIo,0,test
KV8z3vE59O8,1,train
fdbNq-4c6Uk,0,test
vobbh2Ah7Es,1,train
g1QONg2b2JQ,0,train
crytzKqIXOQ,0,train
y6Rmpw87QwI,1,train
wcDHKnnfZM4,1,test
GQNmX0K48i0,0,test
qTENT9gQxCE,0,test
oQdNqqbmaIk,1,train
1t24XAntNCY,0,test
kr5PoOpsnjg,0,train
33JzTRfdguk,1,train
2tmpOjLDcvg,0,test
T8fbNsj2dyo,1,train
Gz5_9MB0e-0,1,train
e3oMDGE8PrU,0,test
FgBixSFoi8Y,1,train
j6dWirO1WQg,1,train
c_efBMq-LqQ,1,train
Ogw1EgEdV9g,0,train
T2BlqlR4a7A,0,train
9CZfG3r5JBE,0,test
taNCapxvdbc,1,test
-0n2kxkdJgM,0,train
EEBt1UQxNyM,1,train
tmM9a6vNDYo,0,train
mjQwedC1WzI,0,train
gUajFAl9vDY,0,train
qCnwXYuzoco,1,train
7Qpwe2cIWFA,0,train
y-dqb45bzXA,0,train
i9rnOr628qM,1,train
